Comment,Designator,Footprint,LCSC
10nF,"C3,C6",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1589
100nF,"C2,C5",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1591
1uF,"C1,C4",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1592
qwiic,J4,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404
4.7uF,"C7,C8",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1705
RPi_GPIO,J1,Samtec_HLE-120-02-XXX-DV-BE-XX-XX,C2685092
SN75LVDS83B,IC1,TSSOP56,C35164
47,"RN1,RN2,RN3,RN4,RN5,RN6",R_Array_Convex_4x0603,C425204
AP2114H-2.5,U1,SOT-223-3_TabPin2,C460313
DLP2ADN121HL4L,"FL1,FL2",Murata_DLP2ADN121HL4L,C710576
4.7K,"R1,R2",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C844791
20374-R30E-31,J2,I-PEX_20374-R30E-31,
